,ADDRESS,CITY,"ZIP CODE",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
24,"3675 Flamingo Dr","Miami Beach",33140,25.812221,-80.125642,1,rooftop,3675,"Flamingo Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
25,"741 Buttonwood Ln",Miami,33137,25.820988,-80.180524,1,rooftop,741,"Buttonwood Ln",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
26,"5242 N Bay Rd","Miami Beach",33140,25.830922,-80.130274,1,rooftop,5242,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
27,"520 Lakeview Ct","Miami Beach",33140,25.823884,-80.12696,1,rooftop,520,"Lakeview Ct","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
28,"5401 Pine Tree Dr","Miami Beach",33140,25.831803,-80.123955,1,rooftop,5401,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
29,"6444 Allison Rd","Miami Beach",33141,25.846395,-80.124373,1,rooftop,6444,"Allison Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
30,"6301 Pine Tree Dr","Miami Beach",33141,25.844265,-80.125389,1,rooftop,6301,"Pine Tree Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
31,"4528 PRAIRIE AV","Miami Beach",33140,25.819706,-80.130087,1,rooftop,4528,"Prairie Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
32,"1776 Bay Dr","Miami Beach",33141,25.849328,-80.138329,1,rooftop,1776,"Bay Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
33,"4241 Palm Ln",Miami,33137,25.818142,-80.183002,1,rooftop,4241,"Palm Ln",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
34,"6050 N Bay Rd","Miami Beach",33140,25.843098,-80.130136,1,rooftop,6050,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
35,"6505 Allison Rd","Miami Beach",33141,25.847899,-80.123772,1,rooftop,6505,"Allison Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
36,"625 Buttonwood Lane",Miami,33137,25.820894,-80.183183,1,rooftop,625,"Buttonwood Ln",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
37,"4455 ISLAND RD",Miami,33137,25.820452,-80.183098,1,rooftop,4455,"Island Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
38,"5185 N Bay Rd","Miami Beach",33140,25.829139,-80.130473,1,rooftop,5185,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
39,"4333 Pine Tree Dr","Miami Beach",33140,25.815732,-80.12531,1,rooftop,4333,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
40,"4825 Lakeview Dr","Miami Beach",33140,25.824899,-80.126511,1,rooftop,4825,"Lakeview Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
41,"627 SABAL PALM RD",Miami,33137,25.816413,-80.184564,1,rooftop,627,"Sabal Palm Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
42,"1220 S Biscayne Point Rd","Miami Beach",33141,25.862168,-80.13025,1,rooftop,1220,"S Biscayne Point Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
43,"6417 Pine Tree Drive Cir","Miami Beach",33141,25.845857,-80.125936,1,rooftop,6417,"Pine Tree Drive Cir","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
44,"6001 Pine Tree Dr","Miami Beach",33140,25.84112,-80.124146,1,rooftop,6001,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
45,"5454 Pine Tree Dr","Miami Beach",33140,25.832667,-80.124537,1,rooftop,5454,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
46,"4440 PRAIRIE AV","Miami Beach",33140,25.818302,-80.130546,1,rooftop,4440,"Prairie Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
47,"4255 Lake Rd",Miami,33137,25.818237,-80.184087,1,rooftop,4255,"Lake Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
48,"711 Buttonwood Ln",Miami,33137,25.820966,-80.181498,1,rooftop,711,"Buttonwood Ln",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
49,"5529 Pine Tree Dr","Miami Beach",33140,25.833616,-80.123621,1,rooftop,5529,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
50,"580 Lakeview Dr","Miami Beach",33140,25.824286,-80.128345,1,rooftop,580,"Lakeview Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
51,"6341 Allison Rd","Miami Beach",33141,25.844927,-80.123234,1,rooftop,6341,"Allison Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
52,"1270 NE 82nd St",Miami,33138,25.850847,-80.172238,1,rooftop,1270,"NE 82nd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
53,"1201 NE 83rd St","Miami Beach",33138,25.852292,-80.173677,1,rooftop,1201,"NE 83rd St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
54,"5445 PINETREE DR","Miami Beach",33140,25.832412,-80.123886,1,rooftop,5445,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
55,"3400 Pine Tree Dr","Miami Beach",33140,25.809452,-80.127879,1,rooftop,3400,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
56,"5709 La Gorce Dr","Miami Beach",33140,25.836681,-80.124475,1,rooftop,5709,"La Gorce Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
57,"5975 N Bayshore Dr",Miami,33137,25.831627,-80.180926,1,rooftop,5975,"N Bayshore Dr",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
58,"5763 N Bay Rd","Miami Beach",33140,25.837615,-80.131757,1,rooftop,5763,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
59,"4525 N Meridian Ave","Miami Beach",33140,25.819018,-80.131258,0.8,rooftop,4525,"Meridian Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
60,"1600 Bay Dr","Miami Beach",33141,25.850226,-80.135043,1,rooftop,1600,"Bay Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
61,"1244 NE 81st Ter",Miami,33138,25.850094,-80.17245,1,rooftop,1244,"NE 81st Ter","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
62,"1870 Bay Dr","Miami Beach",33141,25.849371,-80.140046,1,rooftop,1870,"Bay Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
63,"1200 S Biscayne Point Rd","Miami Beach",33141,25.862045,-80.130075,1,rooftop,1200,"S Biscayne Point Rd","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
64,"5725 LA GORCE DRIVE","Miami Beach",33140,25.83693,-80.124477,1,rooftop,5725,"La Gorce Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
65,"525 Melaleuca Ln",Miami,33137,25.816105,-80.18708,1,rooftop,525,"Melaleuca Ln",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
66,"5701 N Bay Rd","Miami Beach",33140,25.836543,-80.131154,1,rooftop,5701,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
67,"3190 Pine Tree Dr","Miami Beach",33140,25.808882,-80.12801,1,rooftop,3190,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
68,"1 La Gorce Cir","Miami Beach",33141,25.847566,-80.127836,1,rooftop,1,"La Gorce Cir","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
69,"3711 Pine Tree Dr","Miami Beach",33140,25.811087,-80.12663,1,rooftop,3711,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
70,"430 W 62nd St","Miami Beach",33140,25.842342,-80.127185,1,rooftop,430,"W 62nd St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
71,"6000 Aqua Path","Miami Beach",33141,25.842173,-80.122884,1,rooftop,6000,"Aqua Path","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
72,"729 W 49th St","Miami Beach",33140,25.825727,-80.129826,1,rooftop,729,"W 49th St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
73,"1045 N Shore Dr","Miami Beach",33141,25.858773,-80.144096,1,rooftop,1045,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
74,"5800 La Gorce Dr","Miami Beach",33140,25.838229,-80.125202,1,rooftop,5800,"La Gorce Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
75,"887 N Shore Dr","Miami Beach",33141,25.860076,-80.142652,1,rooftop,887,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
76,"860 Lakeview Dr","Miami Beach",33140,25.825045,-80.132041,1,rooftop,860,"Lakeview Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
77,"4315 N Meridian Ave","Miami Beach",33140,25.81629,-80.132406,0.8,rooftop,4315,"Meridian Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
78,"3801 Collins Ave","Miami Beach",33140,25.811335,-80.122613,1,rooftop,3801,"Collins Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
79,"321 W 63rd St","Miami Beach",33141,25.844116,-80.126161,1,rooftop,321,"W 63rd St","North Bay Village",FL,"Miami-Dade County",33141,US,Statewide2
80,"1040 S Shore Dr","Miami Beach",33141,25.854126,-80.145039,1,rooftop,1040,"S Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
81,"6690 Windsor Ln","Miami Beach",33141,25.848713,-80.129944,1,rooftop,6690,"Windsor Ln","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
82,"3260 Chase Ave","Miami Beach",33140,25.809027,-80.134969,1,rooftop,3260,"Chase Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
83,"6201 N Laguna Path","Miami Beach",33141,25.843755,-80.124076,1,rooftop,6201,"Laguna Path","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
84,"6650 Pinetree Ln","Miami Beach",33141,25.848428,-80.127935,1,rooftop,6650,"Pine Tree Ln","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
85,"7308 Belle Meade Island Dr",Miami,33138,25.842653,-80.174993,1,rooftop,7308,"Belle Meade Island Dr","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
86,"1100 Belle Meade Island Dr",Miami,33138,25.843985,-80.174943,1,rooftop,1100,"Belle Meade Island Dr","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
87,"6034 Pine Tree Dr","Miami Beach",33140,25.841431,-80.12498,1,rooftop,6034,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
88,"71 La Gorce Cir","Miami Beach",33141,25.849172,-80.129113,1,rooftop,71,"La Gorce Cir","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
89,"4530 Alton Rd","Miami Beach",33140,25.820883,-80.136462,1,rooftop,4530,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
90,"6200 Alton Rd","Miami Beach",33140,25.84287,-80.12831,1,rooftop,6200,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
91,"6020 Aqua Path","Miami Beach",33141,25.842374,-80.122885,1,rooftop,6020,"Aqua Path","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
92,"6105 W Laguna Dr","Miami Beach",33141,25.84279,-80.123771,1,rooftop,6105,"Laguna Dr W","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
93,"4420 Bay Point Rd",Miami,33137,25.816727,-80.187744,1,rooftop,4420,"Bay Point Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
94,"4610 Alton Rd","Miami Beach",33140,25.822246,-80.136167,1,rooftop,4610,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
95,"7530 Miami View Dr","North Bay Village",33141,25.845879,-80.159919,1,rooftop,7530,"Miami View Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
96,"6030 Alton Rd","Miami Beach",33140,25.842163,-80.129573,1,rooftop,6030,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
97,"1690 S Treasure Drive","North Bay Village",33141,25.844403,-80.150176,1,rooftop,1690,"S Treasure Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
98,"4201 Bay Point Rd",Miami,33137,25.815055,-80.187757,1,rooftop,4201,"Bay Point Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
99,"5414 Pine Tree Dr","Miami Beach",33140,25.832106,-80.124617,1,rooftop,5414,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
100,"315 N Shore Dr","Miami Beach",33141,25.861228,-80.133051,1,rooftop,315,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
101,"5600 Pine Tree Dr","Miami Beach",33140,25.835011,-80.124158,1,rooftop,5600,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
102,"865 W 47th St","Miami Beach",33140,25.822526,-80.132487,1,rooftop,865,"W 47th St","Miami Beach",FL,"Miami-Dade County",33140,US,Statewide2
103,"641 Island Rd",Miami,33137,25.81826,-80.185514,1,rooftop,641,"Island Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
104,"5750 La Gorce Dr","Miami Beach",33140,25.837507,-80.125129,1,rooftop,5750,"La Gorce Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
105,"970 S Shore DR","Miami Beach",33141,25.854441,-80.14354,1,rooftop,970,"S Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
106,"6089 Alton Rd","Miami Beach",33140,25.842292,-80.1283,1,rooftop,6089,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
107,"3616 Flamingo Dr","Miami Beach",33140,25.811638,-80.126318,1,rooftop,3616,"Flamingo Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
108,"1190 Bay Dr","Miami Beach",33141,25.852507,-80.131122,1,rooftop,1190,"Bay Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
109,"825 NE 76th St",Miami,33138,25.84498,-80.179058,1,rooftop,825,"NE 76th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
110,"3447 Chase Ave","Miami Beach",33140,25.810494,-80.131939,1,rooftop,3447,"Chase Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
111,"480 S Shore Dr","Miami Beach",33141,25.856295,-80.135157,1,rooftop,480,"S Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
112,"5055 N Bay Rd","Miami Beach",33140,25.827353,-80.132325,1,rooftop,5055,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
113,"211 Ari Way","Miami Beach",33141,25.843889,-80.123633,1,rooftop,211,"Ari Way","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
114,"5975 NE 6th Ct",Miami,33137,25.831361,-80.182268,1,rooftop,5975,"NE 6th Ct",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
115,"6045 La Gorce Dr","Miami Beach",33140,25.841454,-80.125382,1,rooftop,6045,"La Gorce Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
116,"4370 Nautilus Dr","Miami Beach",33140,25.817343,-80.136358,1,rooftop,4370,"Nautilus Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
117,"4727 N Bay Rd","Miami Beach",33140,25.823979,-80.135477,1,rooftop,4727,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
118,"4585 Alton Rd","Miami Beach",33140,25.8218,-80.135688,1,rooftop,4585,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
119,"3724 Pine Tree Dr","Miami Beach",33140,25.811441,-80.127584,1,rooftop,3724,"Pine Tree Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
120,"1055 Belle Meade Island Dr",Miami,33138,25.844986,-80.175224,1,rooftop,1055,"Belle Meade Island Dr","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
121,"1660 Bay Dr","Miami Beach",33141,25.849824,-80.136008,1,rooftop,1660,"Bay Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
122,"5666 Alton Rd","Miami Beach",33140,25.836174,-80.130493,1,rooftop,5666,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
123,"3490 Prairie Ave","Miami Beach",33140,25.811151,-80.131242,1,rooftop,3490,"Prairie Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
124,"4505 N Meridian Ave","Miami Beach",33140,25.818622,-80.131372,0.8,rooftop,4505,"Meridian Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
125,"1090 NE 84th St",Miami,33138,25.852948,-80.174667,1,rooftop,1090,"NE 84th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
126,"7711 Beachview Dr","North Bay Village",33141,25.846785,-80.157344,1,rooftop,7711,"Beachview Dr","North Bay Village",FL,"Miami-Dade County",33141,US,Statewide2
127,"5815 N BAY RD","Miami Beach",33140,25.838618,-80.131941,1,rooftop,5815,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
128,"4427 Royal Palm Ave","Miami Beach",33140,25.817536,-80.127746,1,rooftop,4427,"Royal Palm Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
129,"4151 Gate Ln",Miami,33137,25.816163,-80.185693,1,rooftop,4151,"Gate Ln",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
130,"1034 NE 84th St",Miami,33138,25.852879,-80.175823,1,rooftop,1034,"NE 84th St","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
131,"227 N Shore Dr","Miami Beach",33141,25.860616,-80.131175,1,rooftop,227,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
132,"5436 Alton Rd","Miami Beach",33140,25.834303,-80.129428,1,rooftop,5436,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
133,"7621 NE 8th Ave",Miami,33138,25.845409,-80.179541,1,rooftop,7621,"NE 8th Ave","Miami Shores",FL,"Miami-Dade County",33138,US,"Miami-Dade County"
134,"271 N Shore Dr","Miami Beach",33141,25.861095,-80.132022,1,rooftop,271,"N Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
135,"4180 Alton Rd (Not Main Alton - aka 43rd St.)","Miami Beach",33140,25.813873,-80.136842,1,rooftop,4180,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
136,"133 NE 47TH ST",Miami,33137,25.818818,-80.192644,1,rooftop,133,"NE 47th St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
137,"3193 Royal Palm Ave","Miami Beach",33140,25.809156,-80.129584,1,rooftop,3193,"Royal Palm Ave","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
138,"4301 Alton Rd","Miami Beach",33140,25.81583,-80.137046,1,rooftop,4301,"Alton Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
139,"4550 Bay Point Rd",Miami,33137,25.817865,-80.187568,1,rooftop,4550,"Bay Point Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
140,"5968 NE 6 CT",Miami,33137,25.831188,-80.183848,0.9,range_interpolation,5968,"NE 6th Ave",Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
141,"6001 N Bay Rd","Miami Beach",33140,25.842114,-80.130269,1,rooftop,6001,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
142,"4747 N Bay Rd","Miami Beach",33140,25.824347,-80.135069,1,rooftop,4747,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
143,"5410 La Gorce Dr","Miami Beach",33140,25.832197,-80.125598,1,rooftop,5410,"La Gorce Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
144,"4230 N Bay Rd","Miami Beach",33140,25.813761,-80.137923,1,rooftop,4230,"N Bay Rd","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
145,"681 NE 57th St",Miami,33137,25.828792,-80.181288,1,rooftop,681,"NE 57th St",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
146,"5931 La Gorce Dr","Miami Beach",33140,25.840045,-80.12494,1,rooftop,5931,"La Gorce Dr","Miami Beach",FL,"Miami-Dade County",33140,US,"Miami-Dade County"
147,"5261 NE 5th Ave",Miami,33137,25.824735,-80.184459,1,rooftop,5261,"NE 5th Ave",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
148,"850 S Shore Dr","Miami Beach",33141,25.854752,-80.141474,1,rooftop,850,"S Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
149,"7701 Miami View Dr","North Bay Village",33141,25.846836,-80.159474,1,rooftop,7701,"Miami View Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
150,"7548 W TREASURE DRIVE","North Bay Village",33141,25.845926,-80.154867,1,rooftop,7548,"W Treasure Dr","North Bay Village",FL,"Miami-Dade County",33141,US,Statewide2
151,"4744 Bay Point Rd",Miami,33137,25.819941,-80.187262,1,rooftop,4744,"Bay Point Rd",Miami,FL,"Miami-Dade County",33137,US,"Miami-Dade County"
152,"628 NE 59 ST",Miami,33137,25.813153,-80.191714,0.12,place,,,Miami,FL,"Miami-Dade County",33137,US,"TIGER/Line® dataset from the US Census Bureau"
153,"690 S Shore Dr","Miami Beach",33141,25.855036,-80.138691,1,rooftop,690,"S Shore Dr","North Bay Village",FL,"Miami-Dade County",33141,US,"Miami-Dade County"
