MLS NUMBER,STATUS,ADDRESS,BEDS,FBATHS,HBATHS,LIST PRICE,SOLD PRICE,CONTRACT,SETTLED,CITY,SUBDIV,LOT SIZE,TOT SQFT,LIV SQFT,YEAR BUILT,CONST,DESIGN1,DESIGN2,HEAT,COOLING,GAR SPACES,PARKING,GAR DESC,DINING,EXT FEAT,FLOORS,INT FEAT,LOT DESC,POOL2,POOL DIM,ROOF,OTHER ROOM,SEWER,VIEW,WATER,WINDOWS,SUBD INFO,EST TAXES,SPA,POOL1,MSTR BATH,STYLE,SHORT SALE,REO,BLDG UNITS,COMPLEX UNITS,UNIT FLOOR LOC,TOTAL FLOORS,SUBDIVISION INFO,SECURITY INFO,RESTRICTIONS,FEE DESCRIPTION,ASSOC FEE PAID PER,MAINT CHARGE,LAND LEASE,REC LEASE,ASSOCIATION FEE,MIN LEASE,MAINT INCL,DEVELOPMENT NAME,COMPLEX,UNIT #,ROOF,PUBLIC REMARKS,EXPECTED CLOSING DATE,APPROX LOT SIZE,ZIP CODE,PHOTO COUNT,WITHDRAWN DATE,EXPIRATION DATE,PENDING DATE,OFF MARKET DATE,SALE TERMS,DAYS ON MARKET,COUNTY,APN,ENTRY DATE,SELLER CONTRIBUTIONS (Y/N),SELLER CONTRIBUTIONS ($) 
A10544696,Active,434 SW 10 st,3,3,1,798000,,09/26/2018 12:00:00 AM,,Miami,,,3000,2750,2017,Cbs Construction,,,Central Heat,Central Cooling,2,2 Or More Spaces,,,Other,"Ceramic Floor, Other Floors",First Floor Entry,,,,,,,,,,,3840,,,,T52-Townhouse Condo,False,False,,,1,3,,Fire Alarm,Ok To Lease,,Monthly,350,0,0,350,,,,West Brickell Town Homes,3,,"West Brickell Town Homes is a project with five townhomes, each unit has three stories, 3 bed 3.5, 2,000 sqft living area and 2300 total sqft area. 2 parking spaces. Luxurious development, with the latest Smart Technology. Located just minutes way from Brickell Financial District and nearby parks include Triangle Park, Southside Park and Jose Marti Riverfont Park",,,33130,9,,,,,,383,Miami-Dade County,,09/26/2018 4:03:12 PM,,
A10543734,Active,434 SW 10 st,3,3,1,798000,,09/25/2018 12:00:00 AM,,Miami,,,3000,2750,2017,Cbs Construction,,,Central Heat,Central Cooling,2,2 Or More Spaces,,,Other,"Ceramic Floor, Other Floors",First Floor Entry,,,,,,,,,,,3840,,,,T52-Townhouse Condo,False,False,,,1,3,,Fire Alarm,Ok To Lease,,Monthly,0,0,0,350,,,,West Brickell Town Homes,2,,"West Brickell Town Homes is a project with five townhomes, each unit has three stories, 3 bed 3.5, 2,000 sqft living area and 2300 total sqft area. 2 parking spaces. Luxurious development, with the latest Smart Technology. Located just minutes way from Brickell Financial District and nearby parks include Triangle Park, Southside Park and Jose Marti Riverfont Park",,,33130,9,,,,,,384,Miami-Dade County,,09/26/2018 3:36:00 PM,,
A10547560,Active,495 Brickell Ave,2,2,0,734900,,10/02/2018 12:00:00 AM,,Miami,ICON BRICKELL NO TWO,,1327,1327,2009,Cbs Construction,,,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",1,"1 Space, Assigned Parking",,,Other,Marble Floors,Other Interior Features,,,,,,,,,,ICON BRICKELL NO TWO,12082,,,,C42-Condo 5+ Stories,False,False,,,53,55,,"Doorman, Elevator Secure","Corporate Buyer OK, Ok To Lease",,Monthly,0,0,0,1050,,,,Icon two,5310,,"Beautiful views from the 53rd floor at Icon Brickell tower 2. This condo has 2 bedrooms 2 bath with washer and dryer inside the unit. Enjoy all the amenities Icon has to offer, gym, luxury spa, pool and a great location in the heart of Brickell.",,,33131,18,,,,,,377,Miami-Dade County,01-41-38-150-4820,10/02/2018 12:08:17 PM,,
A10725330,Active,1395 Brickell Ave,2,2,0,720000,,08/17/2019 12:00:00 AM,,Miami,MAYFIELD CONDO,,1256,1256,2003,Concrete Block Construction,,,"Central Heat, Electric Heat","Central Cooling, Electric Cooling",2,"2 Or More Spaces, Covered Parking",Attached,Dining/Living Room,Open Balcony,Marble Floors,"Elevator, Walk-In Closets",,,,,Storage Room,,,,Blinds/Shades,MAYFIELD CONDO,9487,,,Combination Tub & Shower,C43-Condo-Hotel,False,False,116,,29,44,,"Garage Secured, Lobby Secured","Auto Parking On, Corporate Buyer OK, Daily Rentals Ok, Ok To Lease, Okay To Lease 1st Year",,Monthly,0,0,0,916,,,,MAYFIELD CONDO,2908,,"CONDO HOTEL (NOT IN THE PROGRAM) FIVE STAR HOTEL AND RECIDENCES CONRAD HOTEL"", BEST LINE IN BUILDING CORNER UNIT  SOUTH EAST EXPOSURE, GREAT VIEW TO BISCAYNE BAY AND CITY VIEWS. CENTRALY LOCATEE IN CENTER OF BRICKELL AVE",,,33131,10,,,,,,58,Miami-Dade County,01-41-39-083-0660,08/17/2019 9:10:59 PM,,
A10740172,Active,452 SW 15th Rd,2,1,0,599000,,09/16/2019 12:00:00 AM,,Miami,HOLLEMAN PARK,5100,1276,1096,1939,Cbs Construction,Detached,One Story,No Heat,Electric Cooling,1,"Slab/Strip, Street Parking",,,Room For Pool,Tile Floors,First Floor Entry,Less Than 1/4 Acre Lot,,,,"Den/Library/Office, Garage Converted",Municipal Sewer,Garden View,Municipal Water,,HOLLEMAN PARK,6964,,False,,R30-No Pool/No Water,False,False,,,,,Public Road,,Other Restrictions,,,,,,,,,,,,,"The Roads-Investors/Builders, Home Buyers Opportunity! Location!!Great Opportunity! Cozy House sits on a lot zoning 3T-O Duplexes on the upcoming exclusive 15 Rd street, overlooking a quiet Park. Can build 2 Townhouses with 2 levels and 3rd-floor terrace, or remodel existing structure, Charming house with room for expansion - steps from New construction Townhouses sold prices for $1.5 million & new boutique building ELEVEN in the Roads, located in the exciting corridor of Brickell Lifestyle area...walking distance to Merry Brickell Village, Brickell City Center, upscale restaurants, shops. Quick access to Key Biscayne, Miami Beach, Midtown, Downtown Miami, Coral Gables, I-95.",,,33129,6,,,,,,28,Miami-Dade County,01-41-38-001-0020,09/16/2019 11:21:44 AM,,
A10724166,Active,1600 SW 1st Ave,2,3,0,599000,,07/04/2019 12:00:00 AM,,Miami,LE PARC AT BRICKELL CONDO,,,1488,2016,"Cbs Construction, New Construction",,,Central Heat,Central Cooling,1,"1 Space, Covered Parking",Attached,Dining/Living Room,Patio,"Tile Floors, Wood Floors","First Floor Entry, Elevator",,,,,Den/Library/Office,,,,High Impact Windows,LE PARC AT BRICKELL CONDO,0,,,"Combination Tub & Shower, Dual Sinks",C42-Condo 5+ Stories,False,False,128,128,1,12,,"Card Entry, Phone Entry, Lobby Secured, Security Patrol, Tv Camera","No Trucks/Rv'S, Ok To Lease, Other Restrictions",,Monthly,1364,0,0,0,,,Le Parc at Brickell,Le Parc at Brickell,TH-04,,"Enjoy sophisticated townhome living and all of the amenities of a luxury condo in Miami's most vibrant neighborhood. This 2Bed/3Bath + Den at Le Parc at Brickell, boasts 13ft. ceilings, floor-to-ceiling windows and an open floor plan on the first level. A glass staircase leads up to the master bedroom, second bedroom and a den. Building amenities include a pool deck with summer kitchen, state-of-the-art fitness center, children’s playroom, business lounge, clubroom and a rooftop sky lounge with Jacuzzi offering spectacular views of the City and Biscayne Bay. Steps to Simpson Park, Biscayne Bay and all the best dining, shopping and entertainment of the Brickell/Downtown area.",,,33129,27,,,,,,102,Miami-Dade County,01-41-38-154-1230,08/16/2019 6:28:51 PM,,
A10685235,Active,311 SW 21st Rd,3,2,0,599000,,06/04/2019 12:00:00 AM,,Miami,HOLLEMAN PARK,6750,1361,1361,1940,Cbs Construction,Detached,Ranch,Central Heat,"Central Cooling, Electric Cooling",0,"Driveway, Slab/Strip, Street Parking",,"Breakfast Area, Dining/Living Room, Other","Exterior Lighting, Fence, High Impact Doors, Patio, Room For Pool","Tile Floors, Wood Floors","First Floor Entry, Fireplace, Split Bedroom",Less Than 1/4 Acre Lot,,,,Florida Room,Municipal Sewer,Garden View,Municipal Water,"Blinds/Shades, High Impact Windows, Impact Glass",HOLLEMAN PARK,8554,False,False,Shower Only,R30-No Pool/No Water,False,False,,,,,Paved Road,,No Restrictions,,,,,,,,,,,,,"Love where you live! if you are looking for a turn key single family home walking distance to A schools, shopping, world class restaurants and entertainment; this 3 bedroom 2 bath completely renovated home features a light filled open concept, wood and tile floors throughout, European style kitchen and bathrooms with quartz counters, stainless steel appliances, washer & dryer, new air conditioner, ceiling fans, shades, impact widows & doors, and a large fenced garden with concrete deck & room for pool.",,,33129,37,,,,,,132,Miami-Dade County,01-41-38-001-1450,06/05/2019 11:31:52 AM,,
A10505678,Active,332 SW 20th Rd,2,1,0,599000,,11/19/2018 12:00:00 AM,,Miami,HOLLEMAN PARK,6750,1316,1316,2018,Concrete Block Construction,Detached,"One Story, Other",Central Heat,Central Cooling,1,Covered Parking,,"Dining/Living Room, Eat-In Kitchen","Deck, Fruit Trees","Ceramic Floor, Parquet Floors",First Floor Entry,Less Than 1/4 Acre Lot,Other,,,"Den/Library/Office, Other",Municipal Sewer,"Garden View, Other View",Other,,HOLLEMAN PARK,6848,,False,,R30-No Pool/No Water,False,False,,,,,Other Subdivision - See Remarks,,Ok To Lease,,,,,,,,,,,,,"BACK IN THE MARKET , Cozy 2 bedrooms plus den, 1 bathroom home totally remodel with modern finishes , hight impact windows and doors, top of the line appliances, wine cooler. quartz counter tops. huge  backyard and one carport. Comes with APPROVED plans for 800 sq. ft. addition.and pool.  Located in a walkable, flood-free zone, only minutes from Brickell, Downtown, and Key Biscayne. Best Buy in The Roads.",,6750,33129,29,,,,,,188,Miami-Dade County,01-41-38-001-1400,07/17/2018 4:54:08 PM,,
A10754620,Active,1600 SW 1st Avenue,2,3,0,590000,,10/10/2019 12:00:00 AM,,Miami,LE PARC AT BRICKELL,,,,2016,Concrete Block Construction,,,Other,Central Cooling,1,1 Space,Attached,Dining/Living Room,Patio,Ceramic Floor,First Floor Entry,,,,,Den/Library/Office,,,,"Blinds/Shades, High Impact Windows",LE PARC AT BRICKELL,0,,,,T52-Townhouse Condo,False,False,,,1,0,,Security Patrol,No Restrictions,,Monthly,1157,0,0,1157,,,LE PARC AT BRICKELL,LE PARC AT BRICKELL,TH-7,,"Motivated seller!. Gorgeous two level town home!. 2 BEDROOMS + DEN + 3 FULL BATHS.! Ground level features high ceilings, European style kitchen, 1 full bath, ample living and dining room with access to the street through a private patio entrance. Second level features a Master bedroom suite w/ walking closets, second bedroom with full bathroom + a den!. Building located on Brickell's quiet area, amenities designed by Ligne Roset, 24 hours front desk, pool, exercise room and a rooftop terrace with a plunge pool. One not to miss!.",,,33129,31,,,,,,4,Miami-Dade County,01-41-38-154-1260,10/10/2019 2:52:23 PM,,
A10712540,Active,520 Brickell Key Dr,2,2,,550000,,07/24/2019 12:00:00 AM,,Miami,BRICKELL KEY ONE CONDO,,1278,1278,1982,Cbs Construction,Attached,One Story,Central Heat,Central Cooling,1,Covered Parking,,,Open Balcony,"Carpeted Floors, Ceramic Floor","Roman Tub, Walk-In Closets",Interior Lot,Above Ground Pool,20/20,,Family Room,Municipal Sewer,Bay,Municipal Water,,BRICKELL KEY ONE CONDO,101010,,True,Combination Tub & Shower,R33-WF/Pool/No Ocean Access,False,False,,,,,"Clubhouse, Community Pool",,Other Restrictions,,Quarterly,,,,972,,,,,,,"Price to sell, beautiful 2 BR/2 Bath spacious unit. Updated Bathrooms, walk-in closet in the master bedroom. balcony overlooks the Miami skyline and bay. Grate amenities, Pool , gym, racquetball, tennis courts ,billiard room, reading and beautiful gardens. markets and restaurants located on the key for convenience. easy to show.",,,33131,16,,,,,,82,Miami-Dade County,01-42-06-052-0130,07/24/2019 8:30:29 PM,,
